OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
1000700000,F,F,,,,F,090,A,C,D,X,,,,M,056,Z,A,,H,,,,B,A,,,2016,01,1000710000
6500000000,H,I,,,,M,096,J,C,C,X,,,,F,068,Z,B,,,,,,B,,,,2016,01,
1001900000,F,F,,,,M,098,A,C,C,X,,,,F,000,,I,,,,,,B,,,,2016,01,6602800000
1000700000,H,H,,,,M,095,A,C,C,X,,,,M,052,Z,A,,X,,,,B,,,,2016,01,1000716000
6500000000,F,F,,,,M,093,A,C,C,X,,,,F,000,,B,,X,,,,B,,,,2016,01,6501300000
6300000000,H,E,,,,M,094,J,C,C,X,,,,F,056,,B,,X,,,,ON,A,,,2016,01,6300200000
6300000000,H,E,,,,M,095,A,C,C,X,,,,M,069,,A,,,,,,,,,,2016,01,6300600000
6300000000,H,E,,,,M,095,J,C,C,X,,,,F,064,,B,,,,,,,,,,2016,01,6301000000
6400000000,D,D,,,,M,088,A,C,E,,,,,M,061,E,A,,,,,,,D,,,2016,01,6400900000
6400000000,D,D,,,,M,099,A,A,I,,,,,M,067,Z,A,,,,,,BZ,,,,2016,01,6400400000
1001900000,D,D,,,,M,089,A,C,D,,,,,M,066,,A,,,,,,,,,,2016,01,6600800000
6400000000,D,D,,,,F,094,B,C,C,,,,,M,053,,I,,,,,,I,,,,2016,01,6401200000
1000300000,H,C,,,,M,089,A,C,E,X,,,,M,054,E,A,,X,,,,B,,,,2016,01,
1001700000,F,F,,,,F,089,A,C,D,X,,,,F,062,,B,,,,,,B,,,,2016,01,
1000300000,F,F,,,,M,092,J,C,Z,,,,,,000,,B,,,,,,B,,,,2016,01,
6400000000,H,E,,,,M,088,A,C,E,I,,,,M,000,,G,,,,,,B,,,,2016,01,6400300000
1001700000,H,E,,,,M,104,A,A,I,X,,,,F,078,Z,B,,X,,,,,,,,2016,01,1001706000
1001500000,H,E,,,,M,103,X,A,Z,X,,,,F,068,,B,,,,,,A,,,,2016,01,1001505000
1000300000,H,E,,,,F,087,Q,C,E,X,,,,M,058,Z,A,,X,,,,,,,,2016,01,1000313000
1000800000,H,I,,,,M,095,J,C,C,,,,,M,000,Z,I,,,,,,B,,,,2016,01,1000806000
1000200000,H,C,,,,F,102,A,A,I,X,,,,F,074,,B,,,,,,B,,,,2016,01,1000204000
6400000000,H,C,,,,M,105,A,A,I,X,,,,F,075,,B,,X,,,,,,,,2016,01,6401700000
1001900000,H,I,,,,M,102,J,,Z,,,,,M,000,Z,B,,,,,,B,,,,2016,01,
6300000000,H,I,,,,M,092,J,C,C,,,,,M,000,Z,A,,,,,,B,,,,2016,01,
1001800000,C,C,,,,F,104,J,A,I,X,,,,M,073,E,A,,,,,,,,,,2016,01,
1001900000,H,C,,,,F,088,A,C,E,X,,,,M,000,,A,,X,,,,,,,,2016,01,6600600000
1000300000,H,E,,,,F,089,A,C,D,X,,,,M,070,C,A,,X,,,,B,,,,2016,01,1000309000
6400000000,H,I,,,,M,088,A,C,E,,,,,M,053,Z,A,,,,,,B,,,,2016,01,6400800000
6300000000,H,I,,,,M,089,J,C,E,,,,,M,000,Z,G,,,,,,BI,,,,2016,01,6301000000
1000300000,F,F,,,,F,093,A,C,C,X,,,,M,000,,A,,,,,,B,,,,2016,01,1000301000
1001900000,F,F,,,,M,097,A,C,C,,,,,M,068,D,A,,X,,,,O,,,,2016,01,6601700000
1001000000,F,F,,,,M,090,J,C,D,,,,,M,000,,A,,,,,,,C,,,2016,01,1001009000
1000900000,F,F,,,,F,091,A,C,D,X,,,,M,000,F,A,,H,,,,B,,,,2016,01,1000901000
6500000000,F,F,,,,F,094,Q,C,C,X,,,,M,000,,I,,X,,,,B,,,,2016,01,6502900000
6500000000,H,I,,,,F,097,A,C,C,,,,,M,000,Z,A,,,,,,B,,,,2016,01,
1001900000,E,F,,,,M,097,A,C,C,X,,,,F,000,E,B,,X,,,,Z,,,,2016,01,6601300000
1001900000,H,E,,,,M,099,Q,B,I,X,,,,F,067,Z,B,,X,,,,,,B,,2016,01,6602900000
1001300000,F,F,,,,M,096,A,C,Z,L,,,,M,070,,A,,X,,,,B,,,,2016,01,1001301000
1001900000,Z,E,,,,F,089,J,C,E,,,,,F,056,,B,,H,,,,AF,,,,2016,01,6601800000
1000300000,H,I,,,,F,087,J,,Z,,,,,M,000,Z,A,,,,,,,,,,2016,01,
6500000000,F,F,,,,M,096,A,C,C,X,,,,M,062,G,A,,,,,,,,,,2016,01,6500500000
1001800000,F,F,,,,M,000,J,C,Z,,,,,,,,A,,,,,,,,,,2016,01,1001803000
1001400000,F,F,,,,M,097,O,C,Z,L,,,,,,,G,,,,,,B,,,,2016,01,1001401000
6500000000,H,I,,,,F,092,J,C,D,,,,,M,060,Z,A,,,,,,B,,,,2016,01,6501300000
1002100000,F,F,,,,F,092,A,C,D,X,,,,M,055,,A,,X,,,,Z,,,,2016,01,6703300000
1001900000,H,C,,,,M,104,A,A,I,X,,,,F,073,,B,,,,,,B,,,,2016,01,6602800000
6500000000,F,F,,,,M,094,O,C,C,X,,,,,000,,B,,,,,,B,,,,2016,01,6500900000
6300000000,H,F,,,,M,101,A,B,I,X,,,,M,071,G,A,,X,,,,B,,,,2016,01,6300300000
1000900000,H,E,,,,M,000,A,C,E,X,,,,M,039,,A,,,,,,I,,,,2016,01,1000904000
6300000000,Z,Z,,,,M,090,A,C,D,X,,,,M,059,Z,A,,X,,,,B,,,,2016,01,6300400000
1001400000,D,D,,,,M,097,A,C,C,,,,,M,072,F,A,,,,,,B,,,,2016,01,1001401000
6300000000,D,D,,,,M,091,A,C,D,,,,,M,064,Z,A,,,,,,B,,,,2016,01,6301000000
1001900000,D,D,,,,F,096,A,C,C,,,,,F,068,E,B,,,,,,,,,,2016,01,6600600000
6400000000,D,D,,,,F,092,B,C,C,,,,,M,053,Z,I,,,,,,I,,,,2016,01,6401200000
1001900000,D,D,,,,M,097,A,C,C,,,,,M,069,E,A,,,,,,B,,,,2016,01,6600400000
1000300000,Z,Z,,,,F,096,A,C,C,ZL,,,,M,061,E,A,,X,,,,,,,,2016,01,1000308000
6300000000,F,F,,,,F,087,A,C,E,X,,,,F,000,G,B,,X,,,,,,,,2016,01,6300300000
1001000000,D,D,,,,M,094,A,C,C,,,,,F,064,,B,,,,,,,,,,2016,01,1001004000
6500000000,D,D,,,,F,090,A,C,D,,,,,M,057,F,A,,,,,,,,,,2016,01,6500400000
1000400000,D,D,,,,M,099,A,B,I,,,,,F,061,Z,A,,,,,,B,,,,2016,01,1000405000
1000300000,H,E,,,,F,000,J,C,C,L,,,,F,074,,B,,,,,,B,,,,2016,01,1000311000
6500000000,F,F,,,,F,092,A,C,C,X,,,,,000,,A,,,,,,,,,,2016,01,6500500000
6500000000,F,F,,,,M,089,A,C,Z,X,,,,,000,,G,,,,,,B,,,,2016,01,6500500000
1001300000,H,E,,,,F,091,A,C,D,X,,,,M,061,Z,A,,Z,,,,B,,,,2016,01,1001313000
1001900000,Z,E,,,,F,096,A,C,C,X,,,,F,073,,B,,,,,,B,,,,2016,01,6602800000
